slot_utc,generated_utc,game_id,team_a,team_a_dice,team_a_hand,team_b,team_b_dice,team_b_hand,winner,drand_round,drand_randomness
2026-08-28T00:00:00Z,2026-08-28T00:00:05.853169Z,2026-08-28-gsv-nyl,Golden State Valkyries,6-6-4-5-6,Three of a kind,New York Liberty,5-5-1-5-6,Three of a kind,Golden State Valkyries,6414806,fe17ebbd5edf39f2d89d5d2a5d8b61632da7071658b287bdf6baa232ea679117
2026-08-28T00:05:00Z,2026-08-28T00:05:05.392676Z,2026-08-28-gsv-nyl,Golden State Valkyries,6-5-3-4-6,One pair,New York Liberty,1-4-2-2-6,One pair,Golden State Valkyries,6414816,859e4887103264454e64b6b3daca75e44d33baf292ce8b65ef9bfc32e4ad707c
2026-08-28T00:10:00Z,2026-08-28T00:10:05.416244Z,2026-08-28-gsv-nyl,Golden State Valkyries,6-2-5-1-5,One pair,New York Liberty,1-4-5-6-5,One pair,New York Liberty,6414826,ca145abb64a3f2312b19f0b7bb99b6153aabc00577deb6e467e6774d41dc9186
2026-08-28T00:15:00Z,2026-08-28T00:15:05.392902Z,2026-08-28-gsv-nyl,Golden State Valkyries,1-4-6-4-2,One pair,New York Liberty,3-2-3-5-4,One pair,Golden State Valkyries,6414836,ba62937ab76d1b657f60698d63610195a17d88b2268da199b5177b1b5f7f5464
2026-08-28T00:20:00Z,2026-08-28T00:20:05.388065Z,2026-08-28-gsv-nyl,Golden State Valkyries,3-1-2-1-5,One pair,New York Liberty,1-1-5-4-3,One pair,New York Liberty,6414846,23e0268745528517d9ea4b4ffe10f117754572a2a0301da3c46e130f484d07de
2026-08-28T00:25:00Z,2026-08-28T00:25:05.429028Z,2026-08-28-gsv-nyl,Golden State Valkyries,4-5-5-6-1,One pair,New York Liberty,6-6-6-6-3,Four of a kind,New York Liberty,6414856,7111470d6cb5042f3f922faf325faaa238a220df1ea46c45a112af1b89d8e5f7
2026-08-28T00:30:00Z,2026-08-28T00:30:05.417496Z,2026-08-28-gsv-nyl,Golden State Valkyries,1-6-5-4-2,High dice,New York Liberty,1-5-4-4-4,Three of a kind,New York Liberty,6414866,98b3f36763efc76240b2960233f316b173d2abff401985059b60b11a0dc4d1d4
2026-08-28T00:35:00Z,2026-08-28T00:35:05.436853Z,2026-08-28-gsv-nyl,Golden State Valkyries,3-1-2-2-5,One pair,New York Liberty,2-1-4-6-2,One pair,New York Liberty,6414876,e96c53b0e74b712d2bf020918798b5d763b221abafef688901b28d68c435eb3e
2026-08-28T00:40:00Z,2026-08-28T00:40:05.439785Z,2026-08-28-gsv-nyl,Golden State Valkyries,1-2-5-4-6,High dice,New York Liberty,3-4-1-3-5,One pair,New York Liberty,6414886,2d627d28b7f4a36b5e23a453487c8561252956b7913188efcfd7c1077a386d7d
2026-08-28T00:45:00Z,2026-08-28T00:45:05.471723Z,2026-08-28-gsv-nyl,Golden State Valkyries,4-1-2-5-6,High dice,New York Liberty,6-3-5-5-3,Two pair,New York Liberty,6414896,9a78942dd61bab11ca5b437fb8b89c939056135b2250d6d5dca888ca6b1197fb
2026-08-28T00:50:00Z,2026-08-28T00:50:05.474142Z,2026-08-28-gsv-nyl,Golden State Valkyries,1-4-1-4-5,Two pair,New York Liberty,2-5-5-5-2,Full house,New York Liberty,6414906,acc76ea149532b3c066880921f2f8f4991bb5a36ce5e4d86d0fe027980ccc67c
2026-08-28T00:55:00Z,2026-08-28T00:55:05.482381Z,2026-08-28-gsv-nyl,Golden State Valkyries,6-4-4-6-5,Two pair,New York Liberty,5-4-4-5-1,Two pair,Golden State Valkyries,6414916,a06990a552751ae2e62f305a7f3c36d5a232a3e3ccac25e93111d71a58ae5dc4
2026-08-28T01:00:00Z,2026-08-28T01:00:05.795738Z,2026-08-28-gsv-nyl,Golden State Valkyries,5-4-3-4-3,Two pair,New York Liberty,4-1-1-3-4,Two pair,Golden State Valkyries,6414926,3799aee4856990431ae4fa4248de76b2c44be7a3e6b3c26bbe2890e89a9322f4
2026-08-28T01:05:00Z,2026-08-28T01:05:05.481414Z,2026-08-28-gsv-nyl,Golden State Valkyries,6-5-4-2-1,High dice,New York Liberty,2-5-2-1-2,Three of a kind,New York Liberty,6414936,fba9e6d9fa6704092c7c28ced2eee7f810f153b0e23d1986efb5501bd778e38e
2026-08-28T01:10:00Z,2026-08-28T01:10:05.471148Z,2026-08-28-gsv-nyl,Golden State Valkyries,1-1-3-5-5,Two pair,New York Liberty,4-6-1-5-6,One pair,Golden State Valkyries,6414946,f4ebd19e6bf70f8673d03c4bdf7fd12aa4f3ec8604b2c235066e637faa135f6a
2026-08-28T01:15:00Z,2026-08-28T01:15:05.556713Z,2026-08-28-gsv-nyl,Golden State Valkyries,5-3-4-5-1,One pair,New York Liberty,6-1-5-5-6,Two pair,New York Liberty,6414956,529c11a6afc4d72b814684a04f3edb47675d72bd57e25ba873567a50160f9cd6
2026-08-28T01:20:00Z,2026-08-28T01:20:05.526833Z,2026-08-28-gsv-nyl,Golden State Valkyries,5-4-3-2-5,One pair,New York Liberty,6-6-1-2-4,One pair,New York Liberty,6414966,d887d1bfe7b30a1b7ee91398a779237d314aa56286b2603497b5cdeb085084bd
2026-08-28T01:25:00Z,2026-08-28T01:25:05.550794Z,2026-08-28-gsv-nyl,Golden State Valkyries,6-2-5-4-6,One pair,New York Liberty,1-1-4-5-1,Three of a kind,New York Liberty,6414976,cef0b55cbc9ee5fee9f3ae90b9496e19484d3710eec3d043c6a44840d6fd0158
2026-08-28T01:30:00Z,2026-08-28T01:30:05.546940Z,2026-08-28-gsv-nyl,Golden State Valkyries,2-4-4-6-1,One pair,New York Liberty,6-3-2-3-1,One pair,Golden State Valkyries,6414986,476934490296981dd28e2cb1663d1ef342c0f52fe907965a57151ffe1c431f48
2026-08-28T01:35:00Z,2026-08-28T01:35:05.565977Z,2026-08-28-gsv-nyl,Golden State Valkyries,5-6-1-1-5,Two pair,New York Liberty,3-4-4-5-2,One pair,Golden State Valkyries,6414996,84d00b5d1d3fc89aa55958373934b1a926ddae583fe35c4470c95b7f09f88a08
2026-08-28T01:40:00Z,2026-08-28T01:40:05.563088Z,2026-08-28-gsv-nyl,Golden State Valkyries,4-2-3-3-3,Three of a kind,New York Liberty,4-6-2-1-3,High dice,Golden State Valkyries,6415006,6ee17a9c8a89be6979b3516f66fd3c980e661805567989993cea27746916d617
2026-08-28T01:45:00Z,2026-08-28T01:45:05.499439Z,2026-08-28-gsv-nyl,Golden State Valkyries,6-2-2-5-1,One pair,New York Liberty,5-4-5-3-5,Three of a kind,New York Liberty,6415016,f9cf9e0b80027b1bd3ebd01d08e8b3e41e283a5e7955a47d0309059f3bf550d0
