slot_utc,generated_utc,game_id,team_a,team_a_dice,team_a_hand,team_b,team_b_dice,team_b_hand,winner,drand_round,drand_randomness
2026-08-28T02:00:00Z,2026-08-28T02:00:05.521195Z,2026-08-28-was-phx,Washington Mystics,6-6-1-2-2,Two pair,Phoenix Mercury,2-3-2-6-5,One pair,Washington Mystics,6415046,1a346aa9d31bfe2046438f441bd6e82017943165ff105c163a0d5d6e13f0f6cc
2026-08-28T02:05:00Z,2026-08-28T02:05:05.542493Z,2026-08-28-was-phx,Washington Mystics,2-4-4-4-1,Three of a kind,Phoenix Mercury,2-1-4-3-6,High dice,Washington Mystics,6415056,9cdacf45dac2116a12acf089ddd3c473f715cf5c5eed97f6b5dcd3d9c8cbf9f7
2026-08-28T02:10:00Z,2026-08-28T02:10:05.362160Z,2026-08-28-was-phx,Washington Mystics,6-6-5-3-3,Two pair,Phoenix Mercury,4-5-2-6-6,One pair,Washington Mystics,6415066,92304ede84b44070ff1a1ebb2d3e02ea1aedc3e44231ed1ef8b13d093bcd042f
2026-08-28T02:15:00Z,2026-08-28T02:15:05.367147Z,2026-08-28-was-phx,Washington Mystics,1-6-6-2-2,Two pair,Phoenix Mercury,1-3-2-6-2,One pair,Washington Mystics,6415076,9d1ff383e6959f4d019593c4304252d811c109fc438e2ec663296e6a8fe59fcd
2026-08-28T02:20:00Z,2026-08-28T02:20:05.375234Z,2026-08-28-was-phx,Washington Mystics,1-3-3-6-1,Two pair,Phoenix Mercury,6-1-4-4-5,One pair,Washington Mystics,6415086,34eb046bafd616e0d8c0a38d61935b8af89b6974a2c26724d0efd8092cc2b98c
2026-08-28T02:25:00Z,2026-08-28T02:25:05.403131Z,2026-08-28-was-phx,Washington Mystics,3-1-6-4-1,One pair,Phoenix Mercury,1-2-3-5-1,One pair,Washington Mystics,6415096,a5ee0a9ded6959452626f135564ace9cdf0e66aef8fb68b41384650607a776d5
2026-08-28T02:30:00Z,2026-08-28T02:30:05.423009Z,2026-08-28-was-phx,Washington Mystics,6-5-6-3-4,One pair,Phoenix Mercury,4-3-2-4-2,Two pair,Phoenix Mercury,6415106,7f1b2bfd4f7073d3800e497c4b3e814ab80110b353de77f2847b002738ac16b0
2026-08-28T02:35:00Z,2026-08-28T02:35:05.434328Z,2026-08-28-was-phx,Washington Mystics,3-2-6-1-2,One pair,Phoenix Mercury,1-3-2-5-1,One pair,Washington Mystics,6415116,8f06aff55b44b6df4d9d05ee4585ff4a2c88c001e981397884beebd6ff6a1c14
2026-08-28T02:40:00Z,2026-08-28T02:40:05.450392Z,2026-08-28-was-phx,Washington Mystics,6-4-1-6-3,One pair,Phoenix Mercury,6-6-6-3-6,Four of a kind,Phoenix Mercury,6415126,0051fe1b00190003815535e034f837656bce7d772b8d39c76efdee48c8e53370
2026-08-28T02:45:00Z,2026-08-28T02:45:05.452774Z,2026-08-28-was-phx,Washington Mystics,3-6-5-2-6,One pair,Phoenix Mercury,6-2-6-5-1,One pair,Washington Mystics,6415136,f342209b0f48377c19b0bb8179febebce3e384590be056144e1ff1938fbfefa9
2026-08-28T02:50:00Z,2026-08-28T02:50:05.468788Z,2026-08-28-was-phx,Washington Mystics,1-1-2-3-5,One pair,Phoenix Mercury,1-5-3-6-2,High dice,Washington Mystics,6415146,c79c23e9d996932c39be5f47da50e0a4de7c60b9302ba5b8cff68948860dbed7
2026-08-28T02:55:00Z,2026-08-28T02:55:05.484432Z,2026-08-28-was-phx,Washington Mystics,6-4-3-3-4,Two pair,Phoenix Mercury,5-2-6-2-2,Three of a kind,Phoenix Mercury,6415156,c07916e095fb3e03d9f219951c52734e1a8a5a35ffcc020cdf98ccb155f2bb27
2026-08-28T03:00:00Z,2026-08-28T03:00:05.506360Z,2026-08-28-was-phx,Washington Mystics,5-2-3-4-6,Straight 2-6,Phoenix Mercury,5-5-5-5-4,Four of a kind,Phoenix Mercury,6415166,6126af99b11840a0f8847eac3c53f0270865431153a87f571dc3e928cd9b73b0
2026-08-28T03:05:00Z,2026-08-28T03:05:05.516563Z,2026-08-28-was-phx,Washington Mystics,5-5-5-5-5,Five of a kind,Phoenix Mercury,5-6-3-6-1,One pair,Washington Mystics,6415176,09c7aeecd8556aef8e7b2159bf58abb0affb4f2ef043652bf122bfef309a5bf1
2026-08-28T03:10:00Z,2026-08-28T03:10:05.508795Z,2026-08-28-was-phx,Washington Mystics,4-3-4-4-4,Four of a kind,Phoenix Mercury,6-2-2-3-5,One pair,Washington Mystics,6415186,2251af8d2dd9b3dbc3f9f740551f11ba3c7d2f2376a5902a5c4e22fec061707c
2026-08-28T03:15:00Z,2026-08-28T03:15:05.494559Z,2026-08-28-was-phx,Washington Mystics,1-3-5-5-1,Two pair,Phoenix Mercury,3-2-4-5-5,One pair,Washington Mystics,6415196,94c1319b40da12d2860d303d915073cbbb5b07c8df5e6f42e2ba5b9893b49d99
2026-08-28T03:20:00Z,2026-08-28T03:20:05.499732Z,2026-08-28-was-phx,Washington Mystics,4-3-4-3-4,Full house,Phoenix Mercury,1-5-5-3-4,One pair,Washington Mystics,6415206,8e0d914f6af66752f2e901d887a2a65160546706bafab6f0ad37e92d18a6979c
2026-08-28T03:25:00Z,2026-08-28T03:25:05.523760Z,2026-08-28-was-phx,Washington Mystics,5-5-6-3-3,Two pair,Phoenix Mercury,6-6-6-3-2,Three of a kind,Phoenix Mercury,6415216,994cec57966596a324c02a39e181c5349a5f6d9e9419698c7bb89e9e9135827d
