slot_utc,generated_utc,game_id,team_a,team_a_dice,team_a_hand,team_b,team_b_dice,team_b_hand,winner,drand_round,drand_randomness
2026-08-30T21:00:00Z,2026-08-30T21:00:05.434856Z,2026-08-30-las-sea,Los Angeles Sparks,5-4-4-5-4,Full house,Seattle Storm,6-4-3-1-6,One pair,Los Angeles Sparks,6423086,aa72e2dd76486ec939fb5c133456dd9dae49cf50a5fd0c44a3d9efb4b074cfca
2026-08-30T21:05:00Z,2026-08-30T21:05:05.513831Z,2026-08-30-las-sea,Los Angeles Sparks,5-2-2-3-3,Two pair,Seattle Storm,2-6-5-6-5,Two pair,Seattle Storm,6423096,02998c4074149806547b9a2dbee2b2126c87383331eeadc67a6964fedb05efd6
2026-08-30T21:10:00Z,2026-08-30T21:10:05.431750Z,2026-08-30-las-sea,Los Angeles Sparks,5-2-2-5-5,Full house,Seattle Storm,4-2-2-2-6,Three of a kind,Los Angeles Sparks,6423106,bb6637697692fd4d95ab2e4af197c89959176e8231d33bae844ee8667077f29c
2026-08-30T21:15:00Z,2026-08-30T21:15:05.412775Z,2026-08-30-las-sea,Los Angeles Sparks,1-3-4-5-3,One pair,Seattle Storm,3-3-3-5-2,Three of a kind,Seattle Storm,6423116,ec270ac18f763fcaebda2cb5dcdcd4614d985140f9f03647b9fc087dcb352f99
2026-08-30T21:20:00Z,2026-08-30T21:20:05.422187Z,2026-08-30-las-sea,Los Angeles Sparks,5-5-4-5-6,Three of a kind,Seattle Storm,4-5-6-3-1,High dice,Los Angeles Sparks,6423126,61e16f97484bc414a056a4118ffee8072cd04298a123a16df35089e59ca189d4
2026-08-30T21:25:00Z,2026-08-30T21:25:05.439888Z,2026-08-30-las-sea,Los Angeles Sparks,4-6-3-2-6,One pair,Seattle Storm,4-2-5-1-5,One pair,Los Angeles Sparks,6423136,47f54f1bac6d27af335253345403a5285d13c5f4f8ffc8a4e15d85e79015122a
2026-08-30T21:30:00Z,2026-08-30T21:30:41.136578Z,2026-08-30-las-sea,Los Angeles Sparks,3-3-1-3-2,Three of a kind,Seattle Storm,4-1-2-2-4,Two pair,Los Angeles Sparks,6423147,e73806f086db8088d6aa9c390a3e3f2b793f01ad67fa2b8ddf06d1d9ba348217
2026-08-30T21:35:00Z,2026-08-30T21:35:05.449237Z,2026-08-30-las-sea,Los Angeles Sparks,1-1-4-5-6,One pair,Seattle Storm,3-2-1-4-4,One pair,Seattle Storm,6423156,79fd7aec8ef9c49bd18bebc512877d0f2cfa4d0ae9c2c2d0da0d5a4c2bf00aee
2026-08-30T21:40:00Z,2026-08-30T21:40:05.455525Z,2026-08-30-las-sea,Los Angeles Sparks,6-4-3-1-1,One pair,Seattle Storm,3-2-6-3-6,Two pair,Seattle Storm,6423166,5194796d87baefd299953c08add96384f1c5aa3e61ca9e6aadfbb21d2c8e9a7c
2026-08-30T21:45:00Z,2026-08-30T21:45:05.453220Z,2026-08-30-las-sea,Los Angeles Sparks,4-5-6-1-5,One pair,Seattle Storm,5-1-2-4-6,High dice,Los Angeles Sparks,6423176,5bdcde2ac757fab0565b75e208018a9992b7ddb314bf5b0a3bec90e4b87392eb
