slot_utc,generated_utc,game_id,team_a,team_a_dice,team_a_hand,team_b,team_b_dice,team_b_hand,winner,drand_round,drand_randomness
2026-08-30T19:00:00Z,2026-08-30T19:00:05.646075Z,2026-08-30-min-atl,Minnesota Lynx,2-2-5-4-1,One pair,Atlanta Dream,6-3-2-4-3,One pair,Atlanta Dream,6422846,09d07357fcfbf87da302ef02bbd00f3c07dd33b5f227d896271d1038a7d063ad
2026-08-30T19:05:00Z,2026-08-30T19:05:05.346050Z,2026-08-30-min-atl,Minnesota Lynx,1-5-3-4-3,One pair,Atlanta Dream,4-4-5-1-6,One pair,Atlanta Dream,6422856,9529e35fe894b3aa04d9d1cfe9387b7d573580270cae128f19bd61b09fd6967e
2026-08-30T19:10:00Z,2026-08-30T19:10:05.347376Z,2026-08-30-min-atl,Minnesota Lynx,1-5-6-6-6,Three of a kind,Atlanta Dream,2-2-4-2-1,Three of a kind,Minnesota Lynx,6422866,932f9d870aa92d916ebcd9779bc630d827b219853ff36bb175dcb357934e13f3
2026-08-30T19:15:00Z,2026-08-30T19:15:05.420301Z,2026-08-30-min-atl,Minnesota Lynx,3-5-2-2-2,Three of a kind,Atlanta Dream,5-1-6-3-3,One pair,Minnesota Lynx,6422876,4299c4ebe7993b9287156efafb67b884e23b198e660368446518c852e5e2fd8f
2026-08-30T19:20:00Z,2026-08-30T19:20:05.417765Z,2026-08-30-min-atl,Minnesota Lynx,1-3-2-4-1,One pair,Atlanta Dream,4-3-6-4-1,One pair,Atlanta Dream,6422886,de1b77d0c9dc1bec13735340378bd60add46ac0342223a790d7d33dc88ae077c
2026-08-30T19:25:00Z,2026-08-30T19:25:05.421706Z,2026-08-30-min-atl,Minnesota Lynx,4-5-4-5-6,Two pair,Atlanta Dream,1-1-3-5-6,One pair,Minnesota Lynx,6422896,ac60bdd892391cb58ed28ab6d9423deb53245bd7d14e2987e3e722225cf7778b
2026-08-30T19:30:00Z,2026-08-30T19:30:05.418019Z,2026-08-30-min-atl,Minnesota Lynx,4-5-2-1-1,One pair,Atlanta Dream,3-1-3-1-4,Two pair,Atlanta Dream,6422906,d59bfa89f83f2796d24d812fa70486ba917dea33fa6fa52719960f1cef6ed4c4
2026-08-30T19:35:00Z,2026-08-30T19:35:05.392491Z,2026-08-30-min-atl,Minnesota Lynx,3-1-5-3-1,Two pair,Atlanta Dream,2-2-5-6-4,One pair,Minnesota Lynx,6422916,fbd156c3ce74c496f9eefb838b00d3d64ae6c4c1a76df285f02866da5c7adfaf
2026-08-30T19:40:00Z,2026-08-30T19:40:05.407960Z,2026-08-30-min-atl,Minnesota Lynx,2-6-3-1-6,One pair,Atlanta Dream,4-4-4-1-2,Three of a kind,Atlanta Dream,6422926,208fee48b060c19f13499032a613a05185f77d08aaff6ac843de251746caf1c8
2026-08-30T19:45:00Z,2026-08-30T19:45:05.412457Z,2026-08-30-min-atl,Minnesota Lynx,5-1-5-2-1,Two pair,Atlanta Dream,3-2-1-5-1,One pair,Minnesota Lynx,6422936,1f07f14004fe07e678c76340dcc2151feb2d7845159b5f827cfe87a7363ae31d
2026-08-30T19:50:00Z,2026-08-30T19:50:05.416117Z,2026-08-30-min-atl,Minnesota Lynx,2-3-6-5-1,High dice,Atlanta Dream,5-2-1-3-6,High dice,TIE,6422946,8b27e215593bb39a7a3dc21b4104afd0ce975e0d712aea18eaad1e53e68598bd
2026-08-30T19:55:00Z,2026-08-30T19:55:05.382750Z,2026-08-30-min-atl,Minnesota Lynx,5-6-1-2-3,High dice,Atlanta Dream,6-6-3-1-4,One pair,Atlanta Dream,6422956,476c546af2172ccb8df854e00e29571445b7529841a1cf03ca5c3aa2e9f11541
2026-08-30T20:00:00Z,2026-08-30T20:00:05.406286Z,2026-08-30-min-atl,Minnesota Lynx,5-1-3-3-5,Two pair,Atlanta Dream,4-5-4-1-5,Two pair,Atlanta Dream,6422966,684166718eee6df43e1cd0b3da92ad1d15f0912032709fe57ad6bc523a530d30
2026-08-30T20:05:00Z,2026-08-30T20:05:05.435899Z,2026-08-30-min-atl,Minnesota Lynx,3-2-3-4-6,One pair,Atlanta Dream,2-3-1-6-3,One pair,Minnesota Lynx,6422976,c9cf9957001251018b920bd1910444ed99527b2a1b697ad4737ae953bf50ebe4
2026-08-30T20:10:00Z,2026-08-30T20:10:05.542102Z,2026-08-30-min-atl,Minnesota Lynx,6-5-6-6-3,Three of a kind,Atlanta Dream,1-2-3-5-4,Straight 1-5,Atlanta Dream,6422986,b654a69014bd55a0e61bda4628c6959de46ddafc629c67e2f2af1c8497920505
2026-08-30T20:15:00Z,2026-08-30T20:15:05.478236Z,2026-08-30-min-atl,Minnesota Lynx,3-5-5-5-3,Full house,Atlanta Dream,3-5-4-4-4,Three of a kind,Minnesota Lynx,6422996,a80dc5bd761e72bbbacf728a9533105e913be471554f075b0c254552ea0107cf
2026-08-30T20:20:00Z,2026-08-30T20:20:05.484596Z,2026-08-30-min-atl,Minnesota Lynx,6-4-3-3-3,Three of a kind,Atlanta Dream,6-4-6-3-6,Three of a kind,Atlanta Dream,6423006,0d73cdf15490dc9205998451758e1d3cdd07d19fc018a4e106fdefed08d13765
2026-08-30T20:25:00Z,2026-08-30T20:25:05.495053Z,2026-08-30-min-atl,Minnesota Lynx,4-1-4-3-2,One pair,Atlanta Dream,6-6-4-5-3,One pair,Atlanta Dream,6423016,f9a91ff66b62e1ac6b3a4a4701d68af9057923a1a0916c36023336580d678f3f
2026-08-30T20:30:00Z,2026-08-30T20:30:05.489998Z,2026-08-30-min-atl,Minnesota Lynx,5-4-2-4-5,Two pair,Atlanta Dream,3-2-4-3-4,Two pair,Minnesota Lynx,6423026,55aae96d71285d91218a647e880b3532d9c12311655176197e5f59937dddb2e0
2026-08-30T20:35:00Z,2026-08-30T20:35:05.509450Z,2026-08-30-min-atl,Minnesota Lynx,2-3-3-1-3,Three of a kind,Atlanta Dream,3-5-3-3-3,Four of a kind,Atlanta Dream,6423036,776dd2632a18f4719e5f9fd51ab31b576740651645c188a2401760b6d61b5d16
2026-08-30T20:40:00Z,2026-08-30T20:40:05.526754Z,2026-08-30-min-atl,Minnesota Lynx,3-4-4-4-1,Three of a kind,Atlanta Dream,4-4-6-4-6,Full house,Atlanta Dream,6423046,cde47ce37f3decc304b4edbb93eaf85095b70e9e7f6a677878853a4c0142a48b
2026-08-30T20:45:00Z,2026-08-30T20:45:05.524051Z,2026-08-30-min-atl,Minnesota Lynx,3-4-5-2-2,One pair,Atlanta Dream,6-4-2-4-3,One pair,Atlanta Dream,6423056,1f21603c8152aa4d960bae11adfaf7f844f1316cd6f7fb4c8b591f99f4c8cd2e
