slot_utc,generated_utc,game_id,team_a,team_a_dice,team_a_hand,team_b,team_b_dice,team_b_hand,winner,drand_round,drand_randomness
2026-08-31T00:00:00Z,2026-08-31T00:00:05.408064Z,2026-08-31-con-dal,Connecticut Sun,1-5-4-5-1,Two pair,Dallas Wings,5-5-3-4-2,One pair,Connecticut Sun,6423446,a5227239f2d6b8b4306688704e34a6b3b69b1668b9d1aa69128d1f443492615a
2026-08-31T00:05:00Z,2026-08-31T00:05:05.406245Z,2026-08-31-con-dal,Connecticut Sun,4-6-3-6-5,One pair,Dallas Wings,2-2-5-4-1,One pair,Connecticut Sun,6423456,228d77b7a56b51e914a4444ab51b22a15c62babdb3f29a0ef24edd08c009d2fd
2026-08-31T00:10:00Z,2026-08-31T00:10:05.420422Z,2026-08-31-con-dal,Connecticut Sun,4-2-5-4-2,Two pair,Dallas Wings,5-3-6-1-4,High dice,Connecticut Sun,6423466,97ddf2131402594f0ab269919df41d7ac1fbea78a51fe80c550f359549a34306
2026-08-31T00:15:00Z,2026-08-31T00:15:05.414539Z,2026-08-31-con-dal,Connecticut Sun,4-6-3-2-3,One pair,Dallas Wings,2-3-4-2-6,One pair,Connecticut Sun,6423476,2855d59841f99b7447a7aaa8955e6339c43e1e445a645a53e5faea69e346867e
2026-08-31T00:20:00Z,2026-08-31T00:20:05.434055Z,2026-08-31-con-dal,Connecticut Sun,5-3-3-5-5,Full house,Dallas Wings,5-5-3-1-5,Three of a kind,Connecticut Sun,6423486,1a74ae817ca155bec58c3a243b2896f453ea882e0c7f18dbaae74f95d104193d
2026-08-31T00:25:00Z,2026-08-31T00:25:05.551809Z,2026-08-31-con-dal,Connecticut Sun,4-5-5-1-4,Two pair,Dallas Wings,1-2-6-3-3,One pair,Connecticut Sun,6423496,0c617e488bd2a0bdd384d975b12dd0f0c5978c2b9c87cff4eda9db4e0d160e11
2026-08-31T00:30:00Z,2026-08-31T00:30:05.465656Z,2026-08-31-con-dal,Connecticut Sun,5-2-5-1-2,Two pair,Dallas Wings,6-2-5-4-4,One pair,Connecticut Sun,6423506,518402b9167f0711c8bf513f21c1acadd97bde6ae163423f2e736dcbb06e6446
2026-08-31T00:35:00Z,2026-08-31T00:35:05.457349Z,2026-08-31-con-dal,Connecticut Sun,2-4-3-2-1,One pair,Dallas Wings,6-5-3-4-4,One pair,Dallas Wings,6423516,7d9887e5cff0b39ba12f5e80611a30c05f200237fa972dc763f626f29ee4e0fe
2026-08-31T00:40:00Z,2026-08-31T00:40:05.747255Z,2026-08-31-con-dal,Connecticut Sun,2-1-3-6-3,One pair,Dallas Wings,5-4-4-6-4,Three of a kind,Dallas Wings,6423526,cdf82c7c438599966c7aed59b6650d19f3a790c5ac386e84f030eee23a24fcb6
2026-08-31T00:45:00Z,2026-08-31T00:45:05.473822Z,2026-08-31-con-dal,Connecticut Sun,1-2-3-2-3,Two pair,Dallas Wings,2-5-4-5-4,Two pair,Dallas Wings,6423536,e7bff810d78860094fdf98ed3e29d0e748ad8ce20c097bb1a1ac5b1b88677789
